id_prueba,timestamp,modo,tipo_evento,escenario,distancia_m,iluminacion,objeto_verdad,objeto_predicho,confianza,t_total_ms,latencia,acierto,notas
2559,2026-01-02T01:13:36.761292,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334416400.png
2560,2026-01-02T01:13:36.765448,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"DAD MÁXIMA !"""
2561,2026-01-02T01:13:36.770682,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.0,,converted output to speech
2562,2026-01-02T01:13:37.267896,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.5,,,starting
2563,2026-01-02T01:13:37.510722,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,finished (43371 bytes)
2564,2026-01-02T01:13:37.512565,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2565,2026-01-02T01:13:37.515063,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,43371 bytes
2566,2026-01-02T01:13:37.668390,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.2,,,original size: 1024x768
2567,2026-01-02T01:13:37.679955,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2568,2026-01-02T01:13:37.974837,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334417965.png
2569,2026-01-02T01:13:37.976987,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2570,2026-01-02T01:13:38.386154,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.4,,,"50 E VELOCIDAD MÁXIMA ="""
2571,2026-01-02T01:13:38.392656,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334417965.png
2572,2026-01-02T01:13:38.404268,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"50 E VELOCIDAD MÁXIMA ="""
2573,2026-01-02T01:13:38.414307,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.1,,converted output to speech
2574,2026-01-02T01:13:38.936855,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.5,,,starting
2575,2026-01-02T01:13:39.096574,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,finished (42843 bytes)
2576,2026-01-02T01:13:39.098510,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2577,2026-01-02T01:13:39.099918,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,42843 bytes
2578,2026-01-02T01:13:39.218173,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
2579,2026-01-02T01:13:39.252743,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,upscaled to: 1024x768
2580,2026-01-02T01:13:39.596924,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.3,,,saved temp image at /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334419584.png
2581,2026-01-02T01:13:39.599119,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,"running tesseract (psm=11,oem=1)"
2582,2026-01-02T01:13:40.533657,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.9,,,"50 VE¡;hcmAn - MÁXIMA ["""
2583,2026-01-02T01:13:40.539623,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,cleaned temp file /data/user/0/com.prototype.artificial_vision/cache/ocr_1767334419584.png
2584,2026-01-02T01:13:40.542194,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,,,"50 VE¡;hcmAn - MÁXIMA ["""
2585,2026-01-02T01:13:40.554385,MOBILE,TTS,"2B, 3.5, 3.6",,,,,,00:00.0,00:01.6,,converted output to speech
2586,2026-01-02T01:13:40.971020,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.4,,,starting
2587,2026-01-02T01:13:41.181956,MOBILE,ESP32,"2B, 3.5, 3.6",,,,,,00:00.2,,,finished (43239 bytes)
2588,2026-01-02T01:13:41.184326,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,starting
2589,2026-01-02T01:13:41.186212,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.0,,,43239 bytes
2590,2026-01-02T01:13:41.323734,MOBILE,OCR,"2B, 3.5, 3.6",,,,,,00:00.1,,,original size: 1024x768
